S_ID,station_no,Store_type,Location_ID,name_tw,district_tw,address_tw,lat,lng,Section
30144,"""501311034""",3,300144,"""安康里鄰里公園""",台南市永康區,"""中華西街196巷28號北側""","""23.01723""","""120.22620""",22.0
30145,"""501311035""",3,300145,"""鹽行國中(平道二路)""",台南市永康區,"""水漾路110號""","""23.04647""","""120.24577""",22.0
30146,"""501311036""",3,300146,"""永康區社教中心""",台南市永康區,"""永大二路88號""","""23.01921""","""120.26022""",22.0
30147,"""501311040""",3,300147,"""中山北永明""",台南市永康區,"""中山北路65號""","""23.02652""","""120.25859""",22.0
30148,"""501311041""",3,300148,"""獅子亭公園(南工宿舍)""",台南市永康區,"""中山南路106-9號北側""","""23.01324""","""120.22962""",22.0
30149,"""501311042""",3,300149,"""東橋一東橋五""",台南市永康區,"""東橋一路576號北側""","""23.02569""","""120.23394""",22.0
30150,"""501311043""",3,300150,"""永康公2公園""",台南市永康區,"""東橋十二街186號北側""","""23.02556""","""120.23597""",22.0
30151,"""501311044""",3,300151,"""東橋2號公園""",台南市永康區,"""東橋七路151號""","""23.01982""","""120.23757""",22.0
30152,"""501311045""",3,300152,"""兒三廣十公園""",台南市永康區,"""東橋一路156號西側""","""23.01807""","""120.23441""",22.0
30153,"""501311046""",3,300153,"""龍潭派出所""",台南市永康區,"""龍埔街137號東側""","""23.03387""","""120.26425""",22.0
30154,"""501311047""",3,300154,"""中正南路404巷口""",台南市永康區,"""中正南路533號""","""23.03432""","""120.22924""",22.0
30155,"""501311050""",3,300155,"""龍國龍潭街口""",台南市永康區,"""龍國街400號""","""23.03181""","""120.26662""",22.0
30156,"""501311051""",3,300156,"""復華一街停車場""",台南市永康區,"""復華一街30號對側""","""23.00533""","""120.24523""",22.0
30157,"""501311055""",3,300157,"""東橋八街東橋五路口""",台南市永康區,"""東橋八街210號旁""","""23.02208""","""120.23582""",22.0
30158,"""501312002""",3,300158,"""玉井區圖書館""",台南市玉井區,"""民族路218號""","""23.1236""","""120.46874""",21.0
30159,"""501312003""",3,300159,"""玉井客運站""",台南市玉井區,"""中正路54號西側""","""23.12397""","""120.46033""",21.0
30160,"""501312005""",3,300160,"""中華富強""",台南市玉井區,"""中正路139號""","""23.12538""","""120.46208""",21.0
30161,"""501312006""",3,300161,"""玉井中華中山""",台南市玉井區,"""中華路228號""","""23.12011""","""120.46604""",21.0
30162,"""501313001""",3,300162,"""白河區圖書館""",台南市白河區,"""大德街1號""","""23.35297""","""120.41243""",9.0
30163,"""501314001""",3,300163,"""水景公園""",台南市安平區,"""安北路與安平路850巷路口""","""23.00202""","""120.1581""",5.0
30164,"""501314002""",3,300164,"""安平遊憩碼頭""",台南市安平區,"""運河路55號對側""","""22.99757""","""120.16055""",5.0
30165,"""501314003""",3,300165,"""安億停車場""",台南市安平區,"""安億路(安億停車場旁)""","""22.99667""","""120.16381""",5.0
