S_id,Type,Name,Location_ID
20659,2,垃圾車4255,200659
20660,2,垃圾車4256,200660
20661,2,垃圾車4257,200661
20662,2,垃圾車4258,200662
20663,2,垃圾車4259,200663
20664,2,垃圾車4260,200664
20665,2,垃圾車4261,200665
20666,2,垃圾車4262,200666
20667,2,垃圾車4263,200667
20668,2,垃圾車4264,200668
20669,2,垃圾車4265,200669
20670,2,垃圾車4266,200670
20671,2,垃圾車4267,200671
20672,2,垃圾車4268,200672
20673,2,垃圾車4269,200673
20674,2,垃圾車4270,200674
20675,2,垃圾車4271,200675
20676,2,垃圾車4272,200676
20677,2,垃圾車4273,200677
